studno,description,action,datefiled,dateresolved
1997-00264,et ultrices posuere cubilia curae duis faucibus,dui,1990-10-10,1998-07-23
2016-05119,quisque id justo sit amet sapien dignissim vestibulum vestibulum,elementum,1994-01-01,1992-06-30
2016-31433,nisi nam ultrices libero non,nibh,1991-04-07,1999-07-08
1990-19815,in porttitor pede justo eu,vestibulum,1991-07-26,1993-04-11
2015-64679,ante vivamus tortor duis mattis egestas metus,luctus,1992-11-01,2000-02-11
2017-85397,ante vivamus tortor duis mattis,iaculis,1995-10-26,1995-01-04
2018-97861,ultrices mattis odio donec vitae,amet,1991-10-11,1993-03-07
2004-01513,imperdiet sapien urna pretium nisl ut volutpat sapien arcu,varius,1990-08-26,1993-04-05
1997-63086,viverra pede ac diam cras pellentesque volutpat dui maecenas tristique,dictumst,1991-08-08,1999-08-21
2019-19041,a suscipit nulla elit ac nulla,augue,1990-06-11,1994-08-04
1990-06966,vestibulum ac est lacinia nisi,sodales,1997-08-05,2000-07-04
2010-38646,sapien varius ut blandit non interdum in ante vestibulum ante,duis,1993-08-01,1990-04-16
2018-46411,orci luctus et ultrices posuere,ullamcorper,1994-02-09,1991-09-29
2017-23802,a libero nam dui proin leo,rutrum,1996-03-23,1994-05-17
2016-44326,at velit eu est congue elementum in hac,dapibus,1994-05-19,1990-07-09
1999-61819,quisque porta volutpat erat quisque erat eros viverra eget,nisi,1990-04-30,1990-01-15
2007-23479,at ipsum ac tellus semper interdum mauris ullamcorper,ultrices,1990-05-17,1991-12-13
1997-36346,pharetra magna vestibulum aliquet ultrices erat tortor,faucibus,1995-02-28,1998-10-10
2004-11396,vel enim sit amet nunc viverra dapibus nulla,quis,1992-03-05,1994-11-07
2016-71659,imperdiet sapien urna pretium nisl,justo,1996-08-16,1994-08-19
2014-23283,nullam orci pede venenatis non sodales sed tincidunt eu felis,vestibulum,1991-06-03,1995-08-11
1993-52369,posuere metus vitae ipsum aliquam non mauris,ultrices,1998-04-21,1993-05-14
2000-90957,platea dictumst morbi vestibulum velit id,sit,1993-12-01,1995-07-10
2004-74170,turpis sed ante vivamus tortor duis mattis egestas,adipiscing,1992-10-17,2000-03-24
2005-76495,cursus vestibulum proin eu mi nulla ac,sit,1996-01-25,1996-01-18
2015-53235,sapien iaculis congue vivamus metus arcu adipiscing,tincidunt,1999-09-21,1994-12-02
2010-17411,non sodales sed tincidunt eu felis,eu,1994-03-02,1998-04-22
2003-40395,volutpat eleifend donec ut dolor morbi vel lectus in,diam,1996-02-01,1992-06-14
2010-16246,rhoncus dui vel sem sed sagittis nam congue risus semper,turpis,1997-05-23,1994-03-01
2018-54168,ut dolor morbi vel lectus,quam,1997-03-18,1994-02-06
2000-64717,cum sociis natoque penatibus et magnis dis parturient montes,sed,1992-05-29,1995-06-25
2010-89122,lacus morbi quis tortor id nulla ultrices aliquet maecenas,in,1991-02-16,1991-05-04
2017-86972,mattis nibh ligula nec sem,consequat,1990-04-12,1997-07-11
2014-59283,dictumst morbi vestibulum velit id pretium iaculis diam,id,1996-04-12,1991-10-24
2005-69980,sed accumsan felis ut at,sapien,1996-05-09,1999-11-04
2005-28532,arcu libero rutrum ac lobortis,morbi,1990-07-07,1990-07-01
2009-42950,erat quisque erat eros viverra eget congue eget semper rutrum,ridiculus,1998-05-09,1998-07-03
1995-57095,pede morbi porttitor lorem id ligula suspendisse ornare,sapien,1990-10-02,2000-10-08
2017-55215,erat id mauris vulputate elementum nullam varius nulla facilisi cras,faucibus,1994-10-29,1990-11-10
2019-95375,maecenas leo odio condimentum id luctus nec molestie,maecenas,1996-03-12,1992-04-19
1995-53965,vel augue vestibulum rutrum rutrum neque aenean,in,1992-03-09,1998-04-21
2007-76683,lorem vitae mattis nibh ligula nec sem,augue,2000-06-04,1997-05-02
1996-93609,orci mauris lacinia sapien quis libero nullam,turpis,1990-04-01,1995-12-09
2018-13714,in felis eu sapien cursus vestibulum proin eu,vestibulum,1994-05-16,1997-04-14
2019-30209,mauris enim leo rhoncus sed vestibulum sit,lobortis,1990-09-24,1996-01-15
1996-51854,vivamus tortor duis mattis egestas,nec,1992-05-08,1992-01-11
2015-05313,est congue elementum in hac habitasse platea,in,2000-09-15,1991-03-07
2010-66148,tincidunt nulla mollis molestie lorem,non,1992-02-27,1990-06-24
2017-42053,non mi integer ac neque duis bibendum,lorem,1996-06-05,1997-12-09
2016-69538,vel augue vestibulum ante ipsum primis in faucibus,praesent,1996-07-25,1997-10-04
2013-04223,vivamus tortor duis mattis egestas metus aenean,eu,1990-09-20,1999-12-16
1995-23895,convallis morbi odio odio elementum eu interdum eu tincidunt in,vestibulum,1995-06-25,1991-04-08
2012-49505,dictumst morbi vestibulum velit id pretium,adipiscing,1997-04-01,1998-01-05
1996-17345,ut ultrices vel augue vestibulum ante ipsum primis,leo,2000-07-11,1991-09-23
2012-22736,at dolor quis odio consequat varius integer ac leo pellentesque,eget,1991-11-15,1991-04-12
2013-76404,sit amet consectetuer adipiscing elit,rutrum,1996-08-21,1996-12-16
2013-22797,eget rutrum at lorem integer tincidunt ante vel ipsum,tempor,1995-06-13,2000-04-25
2012-54049,quisque id justo sit amet sapien dignissim vestibulum vestibulum ante,lectus,2000-10-05,1990-09-05
2014-68348,morbi porttitor lorem id ligula suspendisse ornare consequat,eget,1991-03-02,1996-03-01
2015-77834,condimentum neque sapien placerat ante nulla,suspendisse,1996-09-25,1990-06-25
2007-65334,in faucibus orci luctus et ultrices posuere cubilia,nonummy,1992-12-13,1993-01-24
2007-93332,duis ac nibh fusce lacus purus aliquet at feugiat,etiam,1990-06-26,2000-02-21
2018-65527,dictumst aliquam augue quam sollicitudin vitae consectetuer,felis,1996-08-31,1996-04-14
2013-22519,libero nam dui proin leo odio porttitor id consequat in,libero,1993-09-10,2000-11-01
2015-73739,eu nibh quisque id justo,ligula,1994-04-30,1990-06-02
2018-51210,ultrices posuere cubilia curae donec pharetra magna vestibulum,vivamus,1999-04-03,1995-01-27
2017-86759,volutpat dui maecenas tristique est et tempus semper est,nec,1991-09-19,1995-01-16
1996-58341,maecenas rhoncus aliquam lacus morbi,nisl,1995-08-01,1997-09-12
2006-75582,integer ac leo pellentesque ultrices,ligula,1998-03-17,1994-11-29
1990-88194,a ipsum integer a nibh in,morbi,1991-08-12,1997-03-29
2018-76421,felis sed interdum venenatis turpis enim blandit,sem,1996-07-17,1995-07-02
2004-58996,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac,sapien,2000-01-18,1995-07-13
2002-36278,at nulla suspendisse potenti cras in purus eu,nonummy,1998-10-09,1995-12-08
1991-96881,id turpis integer aliquet massa id,dictumst,1991-07-15,1990-05-02
2014-05328,varius nulla facilisi cras non velit nec nisi,turpis,2000-01-02,1993-12-28
1996-47055,nulla nisl nunc nisl duis,accumsan,2000-05-14,1994-08-01
2013-43272,nisl duis bibendum felis sed interdum,quisque,1996-03-11,1997-04-08
2014-68705,amet eleifend pede libero quis orci nullam molestie nibh,quam,1990-02-21,1998-09-11
2011-90709,faucibus orci luctus et ultrices,sit,1998-01-29,1992-04-13
2014-73622,cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus,nam,1990-09-29,1993-06-27
2015-96900,sit amet erat nulla tempus vivamus,volutpat,1998-08-31,1992-05-07
2015-62926,metus arcu adipiscing molestie hendrerit at vulputate,vestibulum,1995-10-08,1998-08-30
1990-50017,tempus vivamus in felis eu sapien cursus vestibulum proin,curabitur,1998-05-22,1991-01-08
1991-15921,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis,aliquet,1991-06-26,1990-04-30
2006-83914,convallis eget eleifend luctus ultricies eu,pede,1997-09-21,1999-07-09
1997-81034,ipsum primis in faucibus orci luctus et ultrices posuere cubilia,id,1993-11-22,1995-06-09
1999-25052,curae duis faucibus accumsan odio curabitur,vel,1995-12-24,1994-09-03
2012-48168,sapien cursus vestibulum proin eu mi nulla ac enim in,tempus,1999-05-31,1996-12-30
2018-89075,lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem,magna,1991-01-11,1991-07-05
1991-38625,faucibus orci luctus et ultrices posuere cubilia curae,quisque,1996-08-16,1992-07-31
1990-24846,varius nulla facilisi cras non velit nec nisi vulputate,odio,1992-09-12,1992-03-19
1997-85767,sit amet justo morbi ut odio cras,tempus,1996-09-03,1998-11-09
2019-15898,montes nascetur ridiculus mus vivamus,pellentesque,1996-02-13,1996-10-05
2007-67728,nulla nunc purus phasellus in felis donec semper,tristique,2000-01-24,1995-09-04
2004-08642,tristique fusce congue diam id ornare,vivamus,1999-08-08,1996-10-01
2018-30960,ac nibh fusce lacus purus aliquet at feugiat non pretium,vehicula,1994-07-13,1990-09-03
2015-34133,parturient montes nascetur ridiculus mus etiam vel augue,porttitor,1993-08-14,1992-05-08
2016-59051,congue elementum in hac habitasse platea dictumst morbi vestibulum,at,1993-02-19,1997-08-14
2013-46362,faucibus orci luctus et ultrices posuere cubilia curae duis,pretium,1999-04-07,1991-07-07
1993-89243,quis tortor id nulla ultrices,blandit,1993-01-18,1995-07-02
2014-47455,justo in blandit ultrices enim lorem ipsum,suspendisse,1993-05-10,1997-06-10
2010-82711,varius integer ac leo pellentesque ultrices mattis odio donec vitae,vestibulum,1993-07-28,1995-11-07
2003-68696,diam in magna bibendum imperdiet nullam orci pede,id,1991-02-13,1997-03-05
1990-66130,non mi integer ac neque duis bibendum morbi non,congue,2000-09-14,1994-05-23
2016-55125,turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis,proin,1996-07-18,1999-04-12
2018-57133,sed vestibulum sit amet cursus id turpis integer aliquet massa,odio,1996-09-17,1998-03-26
2017-07748,justo in blandit ultrices enim lorem ipsum dolor sit amet,integer,1995-02-15,1995-06-25
2018-49130,at ipsum ac tellus semper interdum mauris ullamcorper,amet,1990-05-20,1998-07-06
2013-48596,consequat ut nulla sed accumsan felis ut at dolor quis,posuere,2000-03-17,1992-04-06
2013-49636,erat eros viverra eget congue eget semper,etiam,1997-03-02,1994-07-16
2018-49418,eu felis fusce posuere felis sed,justo,1990-04-18,1999-09-19
2010-63736,purus sit amet nulla quisque arcu libero,nibh,1999-04-04,1994-10-23
1996-66377,nulla mollis molestie lorem quisque,sed,1992-06-16,1997-11-20
2005-83845,turpis elementum ligula vehicula consequat morbi,volutpat,1992-04-15,1993-03-01
2019-96023,vitae nisi nam ultrices libero non mattis pulvinar nulla pede,suspendisse,1999-05-15,1997-03-14
2006-31427,convallis tortor risus dapibus augue vel accumsan tellus nisi eu,tempus,1999-01-31,1997-01-10
2019-09784,accumsan felis ut at dolor quis odio,feugiat,1996-08-11,1996-07-26
2009-43239,eu felis fusce posuere felis,integer,1998-05-01,2000-05-05
1994-45730,amet diam in magna bibendum imperdiet nullam orci pede venenatis,libero,1992-04-18,1994-08-22
1998-63803,at ipsum ac tellus semper interdum mauris ullamcorper,rutrum,1993-07-25,1990-04-05
2011-34795,velit id pretium iaculis diam erat,lacus,1994-01-05,1991-12-09
2019-86035,nulla integer pede justo lacinia eget,pellentesque,1997-07-07,1999-04-30
2018-42148,faucibus orci luctus et ultrices,ipsum,1993-04-16,1991-09-15
2017-34137,morbi non quam nec dui luctus rutrum nulla,donec,1999-05-27,1990-01-12
2012-00159,in leo maecenas pulvinar lobortis,ac,1990-09-04,1990-05-01
1997-28794,congue risus semper porta volutpat quam pede lobortis ligula,diam,1996-04-01,1994-11-01
2011-69323,bibendum imperdiet nullam orci pede venenatis non sodales,pharetra,1998-10-14,1995-06-07
2003-09492,nulla quisque arcu libero rutrum ac lobortis vel,eget,1997-04-14,1997-04-14
2005-62997,nunc vestibulum ante ipsum primis in faucibus orci luctus et,libero,1990-12-27,1994-11-09
2019-57197,at dolor quis odio consequat varius integer ac leo,rhoncus,1995-07-15,1990-02-24
1997-03421,nisi venenatis tristique fusce congue,consequat,1997-06-04,1995-10-11
2005-17680,quam nec dui luctus rutrum nulla tellus in,nec,1997-05-29,1996-05-15
2015-23752,sed magna at nunc commodo,ridiculus,1997-05-19,1992-02-19
2003-05274,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet,eget,1999-02-10,2000-03-25
1999-48228,quis augue luctus tincidunt nulla mollis,donec,1994-01-16,1993-02-17
2004-78262,rutrum nulla tellus in sagittis dui vel nisl duis ac,eget,1991-10-29,1996-09-22
2010-96253,tincidunt in leo maecenas pulvinar lobortis est,posuere,1990-02-08,1990-09-05
1996-53098,eu tincidunt in leo maecenas pulvinar,ut,1994-10-08,1990-05-13
2017-67700,posuere cubilia curae mauris viverra diam,sed,1994-11-22,1993-05-07
2003-56763,urna ut tellus nulla ut erat id,quam,1990-12-28,1991-03-01
2011-04182,nulla ac enim in tempor turpis nec euismod,nam,1991-05-09,1992-12-26
1991-03532,quam turpis adipiscing lorem vitae mattis nibh,in,1998-06-29,1993-06-13
1992-46023,vestibulum quam sapien varius ut blandit non interdum,eu,1999-12-06,1996-06-30
2010-23845,ut erat id mauris vulputate elementum,non,1990-11-25,1994-12-10
2016-36684,ac lobortis vel dapibus at diam nam,interdum,1995-11-15,1997-05-16
2010-85018,sed accumsan felis ut at dolor quis odio consequat,vestibulum,1993-06-13,1994-02-26
1996-54297,donec vitae nisi nam ultrices libero,tortor,1992-09-27,1994-02-23
2000-65545,rhoncus aliquam lacus morbi quis tortor id,ut,1999-02-10,1991-02-05
2017-71091,quam turpis adipiscing lorem vitae mattis nibh ligula nec,primis,1997-07-13,1996-09-05
1999-24819,velit donec diam neque vestibulum eget vulputate ut ultrices,auctor,1996-06-07,1992-11-25
2014-86223,luctus cum sociis natoque penatibus,feugiat,1997-03-08,1990-06-23
2018-66933,eget massa tempor convallis nulla neque libero convallis,ligula,1999-05-28,1997-08-24
1993-94851,pulvinar sed nisl nunc rhoncus dui vel sem sed,eleifend,1999-12-22,1994-03-23
1998-75488,nunc rhoncus dui vel sem,tellus,1990-02-10,1994-10-14
1999-39833,amet cursus id turpis integer,gravida,1991-09-09,1993-08-06
2015-43037,donec semper sapien a libero nam dui proin leo,nec,1995-09-03,1994-02-17
2011-10562,imperdiet nullam orci pede venenatis non,elit,1995-12-15,1996-04-20
2006-24689,dui maecenas tristique est et tempus semper,sit,1996-10-20,2000-09-08
2013-26442,tempus sit amet sem fusce,magna,1993-08-29,1998-11-11
2011-52070,ac tellus semper interdum mauris,hendrerit,1992-10-01,1997-11-11
1996-73745,platea dictumst morbi vestibulum velit id pretium iaculis diam erat,est,1995-08-06,2000-02-28
1996-16309,imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed,eget,1996-10-05,1992-04-19
2018-41061,ut massa quis augue luctus tincidunt,turpis,1994-11-23,1998-12-12
2010-68785,dolor quis odio consequat varius integer,montes,2000-01-29,1999-05-13
2009-75983,phasellus id sapien in sapien,a,1996-08-23,1990-05-12
2017-25199,amet cursus id turpis integer aliquet massa id,a,1998-03-28,1990-10-22
2012-06332,neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante,rhoncus,1993-11-13,1992-11-05
1999-07838,pede justo lacinia eget tincidunt eget tempus,lorem,1991-05-15,1990-08-15
2014-27477,amet lobortis sapien sapien non,suscipit,1991-08-18,1999-02-27
2018-66652,sed interdum venenatis turpis enim blandit mi in porttitor,sapien,1991-11-16,1991-10-28
1994-77795,turpis adipiscing lorem vitae mattis,enim,1999-04-21,1993-12-06
2013-76801,enim sit amet nunc viverra,tempor,1990-03-12,1992-02-18
2012-24314,nisl nunc rhoncus dui vel sem sed sagittis,nec,1992-03-30,1990-06-28
2005-50497,lobortis sapien sapien non mi integer,in,1996-09-07,1998-10-13
2018-50872,orci nullam molestie nibh in lectus,morbi,2000-05-09,1998-12-28
2004-22618,dictumst morbi vestibulum velit id pretium iaculis,habitasse,1990-06-20,2000-04-07
2018-90854,justo eu massa donec dapibus duis,nulla,1998-04-18,1997-02-24
1997-13114,aliquet at feugiat non pretium quis,lectus,1992-05-15,1992-05-19
2015-16143,sed vel enim sit amet,quam,1999-04-04,1995-06-26
2015-83258,luctus rutrum nulla tellus in sagittis dui vel,nulla,1998-08-20,1998-12-22
2009-23753,proin leo odio porttitor id consequat in consequat ut,id,1996-05-20,1994-08-09
1998-30541,amet sem fusce consequat nulla nisl nunc,in,1990-06-23,1997-04-13
2007-08269,quam sapien varius ut blandit,odio,1990-08-06,1995-03-18
2014-03374,proin risus praesent lectus vestibulum quam sapien varius ut,dui,1995-05-15,1994-07-29
1999-34252,in faucibus orci luctus et ultrices posuere cubilia curae,fermentum,1998-08-25,1991-06-12
2017-13637,dolor vel est donec odio,nisl,1993-04-30,1990-08-11
1998-58056,vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis,erat,1990-11-13,1996-06-12
2001-12274,sit amet eleifend pede libero,interdum,2000-12-05,1990-03-01
2014-80007,posuere cubilia curae nulla dapibus dolor,id,1998-03-13,1997-11-12
1994-91107,dui nec nisi volutpat eleifend donec ut dolor,sit,1995-01-06,1994-02-04
1993-10889,volutpat dui maecenas tristique est et tempus semper est,vel,1998-09-09,1993-03-11
1991-91580,vulputate nonummy maecenas tincidunt lacus at,eleifend,1996-07-14,1995-12-27
1998-02078,proin eu mi nulla ac enim in tempor turpis,sociis,1997-04-26,1999-10-16
2002-65082,mauris lacinia sapien quis libero,diam,1993-06-15,1993-07-07
1997-58498,bibendum felis sed interdum venenatis turpis,feugiat,1996-03-20,1999-08-14
2016-71471,condimentum curabitur in libero ut,ligula,1995-12-27,1998-11-14
2003-19729,nunc proin at turpis a pede posuere nonummy,penatibus,1990-04-18,1992-05-24
1992-87085,ut mauris eget massa tempor convallis nulla neque libero,sapien,1996-01-16,1993-12-01
2016-74178,rutrum nulla tellus in sagittis dui vel,elementum,1993-03-31,1995-09-07
1992-35366,dui vel nisl duis ac nibh fusce lacus purus aliquet,velit,1992-11-23,1990-01-25
2008-30035,blandit lacinia erat vestibulum sed magna at nunc,dapibus,1998-09-20,1996-12-31
2009-72799,urna pretium nisl ut volutpat sapien arcu sed augue aliquam,dictumst,1996-01-09,1993-01-10
1997-63289,facilisi cras non velit nec nisi,nisi,1994-01-20,1999-08-03
1991-71522,blandit nam nulla integer pede justo lacinia eget tincidunt eget,eu,1996-03-10,1994-01-12
2016-43186,suspendisse potenti nullam porttitor lacus at turpis,lobortis,1991-08-18,2000-04-13
2017-74941,morbi vestibulum velit id pretium iaculis diam erat fermentum justo,ac,1999-02-10,1992-12-25
1994-03522,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut,magna,1992-10-03,2000-04-22
2016-29532,id mauris vulputate elementum nullam,ligula,1999-11-28,1997-02-11
2008-07880,vel pede morbi porttitor lorem id ligula suspendisse,odio,1994-09-27,1991-05-01
2001-41306,consequat nulla nisl nunc nisl duis bibendum,rhoncus,2000-08-29,1994-11-01
2011-70389,lacus at turpis donec posuere metus,nulla,2000-09-27,1994-11-29
2011-47716,ac diam cras pellentesque volutpat dui,morbi,1998-06-03,1992-05-13
1996-21927,pretium iaculis justo in hac,lectus,1998-03-16,1999-09-27
2013-31160,convallis nunc proin at turpis a pede posuere nonummy,convallis,1990-11-24,1990-01-20
2010-82798,sed lacus morbi sem mauris laoreet ut rhoncus aliquet,non,1999-12-14,1990-10-06
2014-96780,interdum eu tincidunt in leo maecenas pulvinar lobortis,cras,2000-01-10,2000-09-28
2016-70423,etiam pretium iaculis justo in hac habitasse platea dictumst etiam,praesent,1996-05-13,1994-03-06
2001-79091,vehicula consequat morbi a ipsum integer,proin,1995-01-16,1999-05-08
2013-41800,nulla ut erat id mauris vulputate elementum nullam varius nulla,orci,1997-04-05,1999-12-07
1995-09955,cubilia curae duis faucibus accumsan odio curabitur convallis,aliquam,1993-03-27,1991-01-07
2019-64365,lectus in est risus auctor sed tristique in tempus,eleifend,2000-02-16,1993-09-24
2014-45006,lacinia eget tincidunt eget tempus vel pede morbi,et,1999-09-22,1999-02-08
1998-50999,pede posuere nonummy integer non velit donec diam neque,magna,1996-11-10,1996-01-06
2009-37226,parturient montes nascetur ridiculus mus vivamus vestibulum sagittis,tortor,1994-02-16,1999-06-01
2007-00311,et magnis dis parturient montes nascetur ridiculus mus etiam vel,massa,1998-07-09,1993-05-04
2006-01568,aliquam sit amet diam in magna bibendum imperdiet nullam,sollicitudin,1997-09-24,1997-06-02
2013-35765,dui luctus rutrum nulla tellus,pede,1995-04-17,1996-02-26
2014-64016,amet diam in magna bibendum imperdiet nullam orci,nec,1997-09-28,1996-08-02
2009-48218,lacus purus aliquet at feugiat non pretium quis lectus,rhoncus,1995-09-20,2000-11-20
2006-27795,dapibus augue vel accumsan tellus nisi eu,suspendisse,1997-01-16,1999-03-30
1993-82348,eleifend quam a odio in hac habitasse platea dictumst maecenas,cum,1996-07-31,1993-02-17
1991-51145,lacinia erat vestibulum sed magna at nunc commodo placerat praesent,metus,1996-09-02,1992-12-07
2017-12624,ante vivamus tortor duis mattis egestas metus aenean,scelerisque,1991-02-01,1992-04-06
2012-24913,lacus at turpis donec posuere metus vitae ipsum aliquam non,in,1997-07-11,1991-01-14
2012-32116,mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor,faucibus,1997-06-25,1990-04-21
2017-05796,lacinia erat vestibulum sed magna at nunc,tortor,2000-01-06,1995-01-26
2010-13721,massa id lobortis convallis tortor risus dapibus,nunc,1998-04-17,1996-11-27
2006-54132,posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices,dolor,1993-07-23,1996-05-07
2001-02487,tincidunt lacus at velit vivamus vel nulla eget,quis,1998-02-20,1998-12-30
1993-00508,sagittis sapien cum sociis natoque penatibus,ultrices,1996-03-14,1999-06-08
2011-50617,tempus sit amet sem fusce,rhoncus,1994-01-01,1996-05-16
2017-56175,nec molestie sed justo pellentesque,lacus,1992-08-28,1994-12-03
2012-54735,metus sapien ut nunc vestibulum,turpis,1997-10-31,1990-12-04
2014-12252,a odio in hac habitasse platea dictumst maecenas,cursus,1996-08-30,1998-05-27
2011-36726,in blandit ultrices enim lorem ipsum dolor sit,suspendisse,2000-05-16,1993-03-07
2003-44805,vivamus vestibulum sagittis sapien cum,turpis,1993-10-12,1993-07-25
2017-10354,suscipit nulla elit ac nulla sed,rutrum,1996-06-05,1999-06-08
1997-03816,sociis natoque penatibus et magnis dis,in,1990-12-16,1997-11-05
2019-75504,ante ipsum primis in faucibus orci luctus et ultrices,ut,2000-08-17,2000-03-15
2007-98022,in tempor turpis nec euismod,odio,1990-05-11,1997-01-22
2003-97234,vehicula consequat morbi a ipsum integer a,venenatis,2000-06-16,1994-04-23
2017-30602,integer ac leo pellentesque ultrices,amet,2000-11-20,1990-12-13
1992-79559,erat nulla tempus vivamus in,eu,1999-10-19,1995-10-11
1995-99865,nulla suscipit ligula in lacus curabitur,suspendisse,1996-07-04,1992-07-01
2010-30781,ante vel ipsum praesent blandit lacinia erat vestibulum sed magna,nascetur,1994-08-11,1992-04-18
2019-92667,eget semper rutrum nulla nunc purus phasellus in felis donec,vel,1990-07-14,1995-05-03
1996-16879,porttitor lacus at turpis donec posuere metus vitae ipsum,nullam,1992-10-11,1994-05-15
1992-30162,odio consequat varius integer ac,proin,1990-02-07,1995-01-11
1999-23526,nisi at nibh in hac habitasse platea,mi,1995-06-03,1992-02-28
2008-52856,ut blandit non interdum in ante vestibulum ante ipsum,felis,1998-10-12,1996-07-05
2017-62540,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget,et,1993-11-20,1992-10-17
2012-21024,euismod scelerisque quam turpis adipiscing lorem,eu,1996-07-31,1991-02-25
2012-27281,sodales scelerisque mauris sit amet eros suspendisse accumsan,tristique,1999-05-24,1991-12-10
1994-69378,nisl nunc rhoncus dui vel sem sed sagittis,quam,1999-04-21,1994-09-09
2017-71382,id ligula suspendisse ornare consequat lectus,nibh,1998-02-15,1993-10-27
2019-06494,in consequat ut nulla sed accumsan,libero,2000-09-05,1999-03-15
2014-59271,habitasse platea dictumst etiam faucibus,faucibus,1995-06-22,1997-12-18
2003-97244,velit id pretium iaculis diam,scelerisque,1996-02-25,1995-09-24
1998-44505,sit amet diam in magna bibendum imperdiet,suscipit,1991-09-23,1999-03-25
2015-01751,nec sem duis aliquam convallis nunc,sed,1999-09-22,1990-08-18
2004-45992,ut nunc vestibulum ante ipsum primis in faucibus,etiam,1994-08-19,1993-06-30
2010-98464,dolor quis odio consequat varius integer ac leo pellentesque,aliquam,1999-07-08,1990-06-21
2017-18209,diam nam tristique tortor eu,nulla,1996-11-22,2000-03-03
2013-20431,velit donec diam neque vestibulum eget vulputate ut ultrices,vitae,2000-10-22,1996-07-06
2000-99500,ipsum primis in faucibus orci luctus et ultrices posuere,suspendisse,1991-07-13,1991-03-10
2010-63739,vestibulum ante ipsum primis in,quis,1999-06-28,1996-04-23
2002-24661,nec condimentum neque sapien placerat ante,in,1992-09-13,1998-05-10
2004-57777,odio cras mi pede malesuada in,curabitur,1993-03-02,1990-05-24
2018-24157,consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum,diam,1999-06-11,1997-02-24
1996-92284,magnis dis parturient montes nascetur ridiculus mus etiam vel,fusce,1997-04-25,1991-12-27
2008-50830,diam vitae quam suspendisse potenti nullam porttitor lacus at,dis,1995-05-10,1999-12-13
2001-31913,duis aliquam convallis nunc proin at turpis a pede,integer,1998-10-14,1997-06-26
2018-14231,eleifend quam a odio in hac habitasse,suspendisse,1992-09-25,1994-08-11
2016-69324,nec nisi volutpat eleifend donec ut dolor morbi,volutpat,1998-04-13,1994-02-13
2010-90214,nibh quisque id justo sit amet sapien dignissim,in,1991-08-20,1995-10-25
1996-53359,non interdum in ante vestibulum ante ipsum primis in,convallis,1993-08-18,1996-04-16
2008-71327,in imperdiet et commodo vulputate justo in blandit ultrices enim,integer,1996-05-22,1992-04-23
2018-19113,cras pellentesque volutpat dui maecenas tristique,phasellus,1994-08-24,2000-02-02
1992-99739,lorem quisque ut erat curabitur gravida nisi at nibh in,erat,1992-05-19,1998-11-29
2018-85753,et ultrices posuere cubilia curae nulla dapibus,ut,1997-08-17,1997-05-29
2010-83385,id consequat in consequat ut nulla sed accumsan felis ut,nibh,1996-06-19,1993-07-20
2018-84668,orci luctus et ultrices posuere cubilia,sapien,1996-02-26,1995-01-31
1995-48389,cubilia curae nulla dapibus dolor vel est donec odio justo,nulla,1999-12-25,1996-09-27
2004-04005,et commodo vulputate justo in blandit ultrices enim lorem,fermentum,1991-11-22,1999-09-04
2019-40183,pellentesque at nulla suspendisse potenti cras in purus,aliquam,1996-07-08,1994-04-05
2007-35922,eros vestibulum ac est lacinia nisi venenatis tristique fusce congue,sit,1995-01-24,1995-03-16
2014-96016,lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem,neque,1996-06-17,1990-05-29
2011-05136,diam vitae quam suspendisse potenti nullam porttitor lacus at,nec,1995-11-10,1990-04-18
2017-19785,in hac habitasse platea dictumst morbi vestibulum,pede,1995-08-07,1991-06-13
2009-50260,quam fringilla rhoncus mauris enim leo rhoncus sed,et,1994-11-12,1997-10-13
2011-04275,sed nisl nunc rhoncus dui vel sem sed sagittis nam,venenatis,1998-05-25,1995-04-18
2000-10993,dis parturient montes nascetur ridiculus,at,1992-03-15,1996-06-20
2012-00102,cursus id turpis integer aliquet,blandit,1990-12-14,1993-07-26
2007-87209,etiam vel augue vestibulum rutrum rutrum,donec,1990-03-23,1995-08-16
2012-57240,sem fusce consequat nulla nisl nunc nisl duis,a,1994-01-10,1994-10-05
2001-21269,nisl venenatis lacinia aenean sit amet justo,bibendum,1993-12-24,1995-08-20
2001-07182,nulla integer pede justo lacinia eget,nulla,2000-10-15,1994-02-27
2016-36323,magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit,diam,2000-11-14,1991-10-24
1996-80180,diam erat fermentum justo nec condimentum,tristique,1998-02-15,1995-05-20
